Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
2019,40616,13764,Eynesbury Senior College,Adelaide,SA,5000,Independent,Secondary,School Single Entity,Individual Reporting,http://www.esc.sa.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,10-12,Major Cities,,,,,,,21,10.2,8,3.9,121,69,52,116.9,1,
2019,40660,30067,Youth Education Centre,Cavan,SA,5072,Government,Special,School Head Campus,Rolled Reporting,http://www.yec.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,5-12,Major Cities,,,,,,,25,22.9,18,13.9,20,2,18,14.7,15,6
2019,40683,17078,Australian Science and Mathematics School,Bedford Park,SA,5042,Government,Secondary,School Single Entity,Individual Reporting,https://www.asms.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,10-12,Major Cities,1079,,8,21,34,36,37,35.8,14,12.4,373,161,212,367.6,1,31
2019,40700,17619,University Senior College at Adelaide University,Adelaide University,SA,5005,Independent,Secondary,School Head Campus,Rolled Reporting,http://www.usc.adelaide.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,11-12,Major Cities,1071,,11,23,33,33,38,32,14,12.6,393,237,156,390.9,0,43
2019,40783,26750,St Patrick's Technical College,Edinburgh North,SA,5113,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stpatstech.sa.edu.au,Catholic Education South Australia,http://www.cesa.catholic.edu.au,11-12,Major Cities,1002,,29,42,24,5,17,15.8,12,9.3,208,21,187,208,0,1
2019,40939,77497,Trinity College Senior,Evanston South,SA,5116,Independent,Secondary,School Single Entity,Individual Reporting,http://www.trinity.sa.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,11-12,Major Cities,,,,,,,55,46.6,14,10.8,544,261,283,542.3,2,
2019,40966,77560,Pinnacle College,Elizabeth East,SA,5112,Independent,Combined,School Head Campus,Rolled Reporting,http://www.pinnacle.sa.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,R-12,Major Cities,1045,67,21,20,30,29,47,36.9,29,13.5,447,209,238,447,0,89
2019,40986,28847,John Hartley School (B-7),Smithfield Plains,SA,5114,Government,Primary,School Single Entity,Individual Reporting,http://www.hartley.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,910,10,66,24,8,2,58,52.7,46,31.4,609,280,329,609,14,22
2019,49151,6988,Coromandel Valley Primary School,Coromandel Valley,SA,5051,Government,Primary,School Single Entity,Individual Reporting,http://www.coromandps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1093,83,6,19,35,40,25,21.7,10,5.9,472,224,248,472,2,7
2019,49152,6944,Cowandilla Primary School,Cowandilla,SA,5033,Government,Primary,School Single Entity,Individual Reporting,http://www.cowandilla.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,1038,64,20,23,31,26,35,30.8,20,15.4,451,201,250,451,4,59
2019,49153,7170,Crafers Primary School,Crafers,SA,5152,Government,Primary,School Single Entity,Individual Reporting,http://www.crafersps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1121,90,3,14,30,53,20,17.6,10,5.2,302,157,145,302,0,8
2019,49154,14911,Crystal Brook Primary School,Crystal Brook,SA,5523,Government,Primary,School Single Entity,Individual Reporting,http://www.crystalbps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,990,41,29,36,26,10,16,12,9,6.3,181,96,85,181,7,2
2019,49155,7457,Curramulka Primary School,Curramulka,SA,5580,Government,Primary,School Single Entity,Individual Reporting,http://www.curryps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,960,27,38,36,21,5,4,3,3,1.5,26,16,10,26,12,0
2019,49156,7133,Murray Bridge Special School,Murray Bridge,SA,5253,Government,Special,School Single Entity,Individual Reporting,http://www.mbss.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,U,Inner Regional,961,,43,35,19,4,7,5.4,6,4.6,22,6,16,22,9,9
2019,49157,6566,Gilles Street Primary School,Adelaide,SA,5000,Government,Primary,School Single Entity,Individual Reporting,http://www.gillesstps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,1113,88,5,11,29,55,32,28.6,21,13.2,403,196,207,403,3,54
2019,49159,7172,Echunga Primary School,Echunga,SA,5153,Government,Primary,School Single Entity,Individual Reporting,http://www.echungaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1037,64,24,26,26,24,8,6.2,5,2.7,77,29,48,77,0,3
2019,49160,6986,Eden Hills Primary School,Eden Hills,SA,5050,Government,Primary,School Single Entity,Individual Reporting,http://www.edenhillps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1116,89,4,14,31,52,20,15.6,16,10.2,284,144,140,284,0,8
2019,49162,6954,Edwardstown Primary School,Melrose Park,SA,5039,Government,Primary,School Single Entity,Individual Reporting,http://www.edwardps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1071,77,12,22,33,34,30,26.5,12,8,503,256,247,503,3,18
2019,49163,16473,Elliston Area School,Elliston,SA,5670,Government,Combined,School Single Entity,Individual Reporting,http://www.ellistonas.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-12,Very Remote,974,33,32,40,20,8,11,8.3,7,3.7,72,33,39,72,8,0
2019,49164,7010,Norwood Primary School,Norwood,SA,5067,Government,Primary,School Single Entity,Individual Reporting,http://www.norwoodps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1148,95,2,8,24,66,28,23.4,13,8,427,227,200,427,0,41
2019,49165,6936,Flinders Park Primary School,Flinders Park,SA,5025,Government,Primary,School Single Entity,Individual Reporting,http://www.flindspkps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,1029,60,21,28,28,23,25,20.2,15,10.6,307,122,185,306.6,6,39
2019,49166,7249,Lenswood Primary School,Lenswood,SA,5240,Government,Primary,School Single Entity,Individual Reporting,http://www.lenswoodps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1058,72,10,30,36,23,5,4.6,3,2.2,63,30,33,63,0,3
2019,49167,7274,Frances Primary School,Frances,SA,5262,Government,Primary,School Single Entity,Individual Reporting,http://www.francesps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,974,33,43,25,25,7,5,3.1,6,2,27,13,14,27,0,0
2019,49168,7370,Freeling Primary School,Freeling,SA,5372,Government,Primary,School Single Entity,Individual Reporting,http://www.freelingps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,980,36,41,38,17,4,21,18.6,10,7.2,330,153,177,330,2,1
2019,49169,7161,Gawler Primary School,Gawler,SA,5118,Government,Primary,School Single Entity,Individual Reporting,http://www.gawlerps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,961,27,47,36,11,5,13,12,12,8.3,197,96,101,197,8,3
2019,49170,7156,Evanston Gardens Primary School,Evanston Gardens,SA,5116,Government,Primary,School Single Entity,Individual Reporting,http://www.evangdns.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,954,24,51,33,14,2,13,10.3,13,6.9,177,95,82,177,3,5
2019,49172,7323,Geranium Primary School,Geranium,SA,5301,Government,Primary,School Single Entity,Individual Reporting,http://www.geraniumps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,970,31,47,33,15,4,3,3,6,2.7,30,12,18,30,0,0
2019,49174,7412,Gladstone Primary School,Gladstone,SA,5473,Government,Primary,School Single Entity,Individual Reporting,http://www.gladstoneps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,985,39,35,30,21,14,9,6.7,8,5,64,26,38,64,9,0
2019,49175,7316,Glenburnie Primary School,Glenburnie,SA,5291,Government,Primary,School Single Entity,Individual Reporting,http://www.glenburnps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,988,40,33,37,24,6,7,6.4,4,2.7,99,47,52,99,5,2
2019,49176,7002,Glen Osmond Primary School,Myrtle Bank,SA,5064,Government,Primary,School Single Entity,Individual Reporting,http://www.glenosps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1139,94,2,9,25,64,25,23.4,12,7.7,411,201,210,411,1,36
2019,49177,7346,Glossop Primary Community School K-7,Glossop,SA,5344,Government,Primary,School Single Entity,Individual Reporting,http://www.glossopps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,829,3,84,13,4,0,6,5.6,8,5.2,39,17,22,39,31,10
2019,49178,6946,Goodwood Primary School,Goodwood,SA,5034,Government,Primary,School Single Entity,Individual Reporting,http://www.goodwoodps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1136,93,2,8,28,62,30,24.4,10,6.2,416,198,218,416,0,26
2019,49179,7237,Goolwa Primary School,Goolwa,SA,5214,Government,Primary,School Single Entity,Individual Reporting,http://www.goolwaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,955,25,49,33,15,3,26,21,17,10,322,154,168,322,7,4
2019,49181,7367,Greenock Primary School,Greenock,SA,5360,Government,Primary,School Single Entity,Individual Reporting,http://www.greenockps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1005,48,26,41,25,8,9,7.7,8,5.2,112,48,64,112,2,1
2019,49182,7242,Gumeracha Primary School,Gumeracha,SA,5233,Government,Primary,School Single Entity,Individual Reporting,http://www.gumerachr7.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1029,60,20,30,31,19,6,4.5,6,3.2,70,31,39,70,4,4
2019,49183,7255,Hahndorf Primary School,Hahndorf,SA,5245,Government,Primary,School Single Entity,Individual Reporting,http://www.hahndorfps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1048,69,14,28,36,22,17,14.8,8,5.3,251,123,128,251,2,4
2019,49184,7376,Hamley Bridge Primary School,Hamley Bridge,SA,5401,Government,Primary,School Single Entity,Individual Reporting,http://www.hamleybridgeps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,936,17,58,33,9,0,8,6.1,7,4.2,83,39,44,83,7,0
2019,49185,7011,Rose Park Primary School,Rose Park,SA,5067,Government,Primary,School Single Entity,Individual Reporting,http://www.roseparkps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1161,97,1,6,21,71,33,30.5,18,12.1,605,290,315,605,0,33
2019,49186,7192,Happy Valley Primary School,Happy Valley,SA,5159,Government,Primary,School Single Entity,Individual Reporting,http://www.happyvalley.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1033,62,15,40,30,14,20,16.2,11,7,263,132,131,263,0,3
2019,49187,7394,Hawker Area School,Hawker,SA,5434,Government,Combined,School Single Entity,Individual Reporting,http://www.hawkeras.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-12,Outer Regional,870,5,56,27,13,5,8,6.6,10,6.3,40,21,19,40,45,20
2019,49188,7174,Heathfield Primary School,Heathfield,SA,5153,Government,Primary,School Single Entity,Individual Reporting,http://www.heathfieldps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1084,81,7,25,33,35,12,9.3,7,3.6,130,53,77,130,1,9
2019,49189,6920,Henley Beach Primary School,Henley Beach South,SA,5022,Government,Primary,School Single Entity,Individual Reporting,http://www.henleyps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,1088,82,7,20,34,38,33,28,16,10.8,502,252,250,502,1,11
2019,49191,6886,North Adelaide Primary School,North Adelaide,SA,5006,Government,Primary,School Single Entity,Individual Reporting,http://www.nthadelaideps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1131,92,2,9,31,58,23,19.2,13,7.3,342,158,184,342,1,35
2019,49193,7270,Jervois Primary School,Jervois,SA,5259,Government,Primary,School Single Entity,Individual Reporting,http://www.jervoisps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,957,25,47,37,13,4,9,7,7,3.8,96,48,48,96,9,2
2019,49195,7297,Kalangadoo Primary School,Kalangadoo,SA,5278,Government,Primary,School Single Entity,Individual Reporting,http://www.kdoops.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,918,12,73,24,3,0,5,3.5,4,1.9,20,12,8,20,0,0
2019,49196,7183,Kangarilla Primary School,Kangarilla,SA,5157,Government,Primary,School Single Entity,Individual Reporting,http://www.kangaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1003,47,28,37,27,8,5,3.7,6,3.8,55,31,24,55,4,0
2019,49197,7372,Kapunda Primary School,Kapunda,SA,5373,Government,Primary,School Single Entity,Individual Reporting,http://www.kapundaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1000,46,31,37,21,10,21,17.5,15,10.3,309,153,156,309,1,2
2019,49198,6905,Alberton Primary School,Queenstown,SA,5014,Government,Primary,School Single Entity,Individual Reporting,http://www.albertonps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,973,32,34,28,25,13,28,24.5,23,13.5,322,154,168,322,19,16
2019,49199,7240,Kersbrook Primary School,Kersbrook,SA,5231,Government,Primary,School Single Entity,Individual Reporting,http://www.kersbrookps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1002,47,27,39,26,7,5,4.6,6,2.9,68,34,34,68,1,6
2019,49200,7358,Keyneton Primary School,Keyneton,SA,5353,Government,Primary,School Single Entity,Individual Reporting,http://www.keynetonps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1040,65,10,39,30,22,4,3,3,1.9,31,17,14,31,6,0
2019,49202,6893,Kilkenny Primary School,West Croydon,SA,5008,Government,Primary,School Single Entity,Individual Reporting,http://www.kilkennyc7.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,1046,67,16,24,34,26,30,28.4,22,13.7,429,199,230,429,4,35
2019,49203,7333,Kingston-on-Murray Primary School,Kingston On Murray,SA,5331,Government,Primary,School Single Entity,Individual Reporting,http://www.komps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,985,39,34,26,31,8,3,2.7,7,3.8,25,13,12,25,8,0
2019,49204,7178,Aldgate Primary School,Aldgate,SA,5154,Government,Primary,School Single Entity,Individual Reporting,http://www.aldgateps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1106,87,5,18,32,45,20,16.6,10,5.5,308,172,136,308,1,2
2019,49205,7318,Kongorong Primary School,Kongorong,SA,5291,Government,Primary,School Single Entity,Individual Reporting,http://www.kongoc7.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,986,39,39,35,22,4,5,4.6,5,1.9,45,15,30,45,0,0
2019,49206,7407,Koolunga Primary School,Koolunga,SA,5464,Government,Primary,School Single Entity,Individual Reporting,http://www.koolungaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,1023,56,8,32,45,15,3,2.8,2,0.9,22,11,11,22,14,0
2019,49207,16497,Mid North Education Centre,Port Pirie,SA,5540,Government,Special,School Single Entity,Individual Reporting,http://www.midnorthec.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,U,Outer Regional,949,,44,34,16,6,9,8.2,16,10.6,33,10,23,33,15,3
2019,49209,6911,Largs Bay School,Largs Bay,SA,5016,Government,Primary,School Single Entity,Individual Reporting,http://www.largsbayr7.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1020,55,19,33,31,17,39,36.5,20,11.9,570,255,315,570,9,4
2019,49210,7414,Laura Primary School,Laura,SA,5480,Government,Primary,School Single Entity,Individual Reporting,http://www.lauraps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,1012,51,24,26,32,18,7,6.4,9,3.7,85,40,45,85,8,0
2019,49211,6909,Le Fevre Peninsula Primary School,Birkenhead,SA,5015,Government,Primary,School Single Entity,Individual Reporting,http://www.lefevreps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,962,27,41,30,21,8,28,25.9,17,12.9,389,184,205,389,16,22
2019,49212,7131,Aldinga Beach B-7 School,Aldinga,SA,5173,Government,Primary,School Single Entity,Individual Reporting,http://www.aldingar7.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,950,22,53,33,11,3,58,46.3,28,18.7,705,352,353,705,6,1
2019,49213,7362,Light Pass Primary School,Light Pass,SA,5355,Government,Primary,School Single Entity,Individual Reporting,http://www.lightpassps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,977,35,40,41,18,2,6,4.6,9,5,51,26,25,51,2,0
2019,49214,7256,Littlehampton Primary School,Littlehampton,SA,5250,Government,Primary,School Single Entity,Individual Reporting,http://www.littlehaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1045,67,15,30,34,21,29,24.8,16,10,463,221,242,463,1,6
2019,49215,7250,Lobethal Primary School,Lobethal,SA,5241,Government,Primary,School Single Entity,Individual Reporting,http://www.lobethalps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1026,58,19,35,30,16,14,10.8,8,6.2,183,81,102,183,2,2
2019,49216,7490,Lock Area School,Lock,SA,5633,Government,Combined,School Single Entity,Individual Reporting,http://www.lockas.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-12,Remote,984,38,34,35,25,6,8,7,8,4.1,52,22,30,50.5,2,0
2019,49217,6941,Lockleys Primary School,Brooklyn Park,SA,5032,Government,Primary,School Single Entity,Individual Reporting,http://www.lockleysps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1029,60,20,28,32,20,9,8.3,8,5,153,76,77,153,7,39
2019,49219,7353,Lyndoch Primary School,Lyndoch,SA,5351,Government,Primary,School Single Entity,Individual Reporting,http://www.lyndochps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,992,42,33,36,22,9,10,8.2,9,6.1,119,53,66,119,5,1
2019,49221,7175,Macclesfield Primary School,Macclesfield,SA,5153,Government,Primary,School Single Entity,Individual Reporting,http://www.maccyps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1034,62,18,37,29,16,6,5,5,3,77,39,38,77,3,4
2019,49223,7426,Mallala Primary School,Mallala,SA,5502,Government,Primary,School Single Entity,Individual Reporting,http://www.mallalac7.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,949,22,53,33,13,1,15,12.6,18,10.2,168,82,86,168,5,2
2019,49224,7356,Angaston Primary School,Angaston,SA,5353,Government,Primary,School Single Entity,Individual Reporting,http://www.angastonps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1029,60,19,36,27,18,21,17.6,14,7.7,308,149,159,308,2,2
2019,49225,7381,Manoora Primary School,Manoora,SA,5414,Government,Primary,School Single Entity,Individual Reporting,http://www.manooraps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,965,29,37,41,21,1,3,2.8,2,1.2,27,10,17,27,11,0
2019,49226,7513,Marree Aboriginal School,Marree,SA,5733,Government,Combined,School Single Entity,Individual Reporting,http://www.marreeab.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-12,Very Remote,798,2,57,21,17,4,6,5.8,3,2.3,23,11,12,21.2,78,9
2019,49227,7013,Marryatville Primary School,Kensington,SA,5068,Government,Primary,School Single Entity,Individual Reporting,http://www.marryatps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1137,93,2,9,27,61,41,33.8,11,8.4,607,283,324,607,0,38
2019,49228,7223,McLaren Flat Primary School,Mclaren Flat,SA,5171,Government,Primary,School Single Entity,Individual Reporting,http://www.mclflatps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1030,60,19,34,32,14,15,12.7,7,3.9,211,110,101,211,0,0
2019,49229,7224,McLaren Vale Primary School,Mclaren Vale,SA,5171,Government,Primary,School Single Entity,Individual Reporting,http://www.mclarenvps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1023,57,19,36,29,15,36,29.5,19,12,550,280,270,550,4,1
2019,49230,7228,Meadows Primary School,Meadows,SA,5201,Government,Primary,School Single Entity,Individual Reporting,http://www.meadowsps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Inner Regional,1017,54,26,34,29,11,11,9.8,9,5.5,166,86,80,166,0,2
2019,49231,7419,Melrose Primary School,Melrose,SA,5483,Government,Primary,School Single Entity,Individual Reporting,http://www.melroseps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,1007,49,26,37,27,10,4,3.1,3,1.6,35,16,19,35,0,3
2019,49232,7158,Angle Vale Primary School,Angle Vale,SA,5117,Government,Primary,School Single Entity,Individual Reporting,http://www.avps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,973,32,43,38,16,3,33,29.7,33,22.6,513,264,249,513,4,6
2019,49235,7319,Mil Lel Primary School,Mil Lel,SA,5291,Government,Primary,School Single Entity,Individual Reporting,http://www.millelps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,1024,57,16,35,34,16,8,6.4,8,3.5,99,47,52,99,6,1
2019,49237,6996,Mitcham Primary School,Kingswood,SA,5062,Government,Primary,School Single Entity,Individual Reporting,http://www.mitchamps.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1121,90,2,13,31,53,43,39.2,15,11.2,760,363,397,760,0,22
2019,49239,7064,Modbury School Preschool to Year 7,Modbury North,SA,5092,Government,Primary,School Single Entity,Individual Reporting,http://www.modburyp7.sa.edu.au/,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-7",Major Cities,989,40,33,31,25,11,18,15.7,19,9.8,203,80,123,203,9,45
2019,49240,7342,Monash Primary and Preschool,Monash,SA,5342,Government,Primary,School Single Entity,Individual Reporting,http://www.monashps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,993,42,30,35,23,12,15,12,11,7.3,186,89,97,186,6,4
2019,49241,7320,Moorak Primary School,Moorak,SA,5291,Government,Primary,School Single Entity,Individual Reporting,http://www.moorakps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,998,45,23,42,27,8,9,8.2,7,3.3,113,53,60,113,8,0
2019,49242,7334,Moorook Primary School,Moorook,SA,5332,Government,Primary,School Single Entity,Individual Reporting,http://www.moorookps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Outer Regional,1001,46,26,36,16,21,4,3.2,3,2,37,25,12,37,14,3
